accepted,arrival_idx,avg_conv_prob,chosen_pv_id,inventory_after,inventory_before,offer_made,phase,pv_weight,qty_requested,qty_sold,remaining_arrivals,resource_constraint,revenue_inc,t
0,0,0.0,,450.0,450.0,0,oracle,,4,0,5051,0.04454563452781628,0.0,0
0,1,0.0,,450.0,450.0,0,oracle,,1,0,5051,0.04454563452781628,0.0,0
0,2,0.0,,450.0,450.0,0,oracle,,1,0,5051,0.04454563452781628,0.0,0
0,3,0.0,,450.0,450.0,0,oracle,,2,0,5051,0.04454563452781628,0.0,0
0,4,0.0,,450.0,450.0,0,oracle,,2,0,5051,0.04454563452781628,0.0,0
0,5,0.0,,450.0,450.0,0,oracle,,1,0,5051,0.04454563452781628,0.0,0
0,0,0.0,,450.0,450.0,0,oracle,,1,0,5045,0.044598612487611496,0.0,1
0,1,0.0,,450.0,450.0,0,oracle,,6,0,5045,0.044598612487611496,0.0,1
0,2,0.0,,450.0,450.0,0,oracle,,2,0,5045,0.044598612487611496,0.0,1
0,3,0.0,,450.0,450.0,0,oracle,,4,0,5045,0.044598612487611496,0.0,1
0,4,0.0,,450.0,450.0,0,oracle,,4,0,5045,0.044598612487611496,0.0,1
0,5,0.0,,450.0,450.0,0,oracle,,1,0,5045,0.044598612487611496,0.0,1
0,6,0.0,,450.0,450.0,0,oracle,,3,0,5045,0.044598612487611496,0.0,1
0,7,0.0,,450.0,450.0,0,oracle,,2,0,5045,0.044598612487611496,0.0,1
0,0,0.0,,450.0,450.0,0,oracle,,3,0,5037,0.04466944609886837,0.0,2
0,1,0.0,,450.0,450.0,0,oracle,,1,0,5037,0.04466944609886837,0.0,2
0,2,0.0,,450.0,450.0,0,oracle,,2,0,5037,0.04466944609886837,0.0,2
0,3,0.0,,450.0,450.0,0,oracle,,1,0,5037,0.04466944609886837,0.0,2
0,4,0.0,,450.0,450.0,0,oracle,,4,0,5037,0.04466944609886837,0.0,2
0,5,0.0,,450.0,450.0,0,oracle,,2,0,5037,0.04466944609886837,0.0,2
0,6,0.0,,450.0,450.0,0,oracle,,4,0,5037,0.04466944609886837,0.0,2
0,7,0.0,,450.0,450.0,0,oracle,,1,0,5037,0.04466944609886837,0.0,2
0,8,0.0,,450.0,450.0,0,oracle,,3,0,5037,0.04466944609886837,0.0,2
0,9,0.0,,450.0,450.0,0,oracle,,3,0,5037,0.04466944609886837,0.0,2
0,10,0.0,,450.0,450.0,0,oracle,,1,0,5037,0.04466944609886837,0.0,2
0,0,0.0,,450.0,450.0,0,oracle,,1,0,5026,0.044767210505372065,0.0,3
0,1,0.0,,450.0,450.0,0,oracle,,1,0,5026,0.044767210505372065,0.0,3
0,2,0.0,,450.0,450.0,0,oracle,,3,0,5026,0.044767210505372065,0.0,3
0,3,0.0,,450.0,450.0,0,oracle,,3,0,5026,0.044767210505372065,0.0,3
0,4,0.0,,450.0,450.0,0,oracle,,2,0,5026,0.044767210505372065,0.0,3
0,0,0.0,,450.0,450.0,0,oracle,,2,0,5021,0.044811790479984064,0.0,4
0,1,0.0,,450.0,450.0,0,oracle,,5,0,5021,0.044811790479984064,0.0,4
0,2,0.0,,450.0,450.0,0,oracle,,1,0,5021,0.044811790479984064,0.0,4
0,3,0.0,,450.0,450.0,0,oracle,,1,0,5021,0.044811790479984064,0.0,4
0,4,0.0,,450.0,450.0,0,oracle,,2,0,5021,0.044811790479984064,0.0,4
0,5,0.0,,450.0,450.0,0,oracle,,1,0,5021,0.044811790479984064,0.0,4
0,6,0.0,,450.0,450.0,0,oracle,,2,0,5021,0.044811790479984064,0.0,4
0,7,0.0,,450.0,450.0,0,oracle,,1,0,5021,0.044811790479984064,0.0,4
0,8,0.0,,450.0,450.0,0,oracle,,2,0,5021,0.044811790479984064,0.0,4
0,9,0.0,,450.0,450.0,0,oracle,,2,0,5021,0.044811790479984064,0.0,4
0,10,0.0,,450.0,450.0,0,oracle,,2,0,5021,0.044811790479984064,0.0,4
0,11,0.0,,450.0,450.0,0,oracle,,4,0,5021,0.044811790479984064,0.0,4
0,0,0.0,,450.0,450.0,0,oracle,,3,0,5009,0.044919145538031544,0.0,5
0,1,0.0,,450.0,450.0,0,oracle,,2,0,5009,0.044919145538031544,0.0,5
0,2,0.0,,450.0,450.0,0,oracle,,3,0,5009,0.044919145538031544,0.0,5
0,3,0.0,,450.0,450.0,0,oracle,,1,0,5009,0.044919145538031544,0.0,5
0,4,0.0,,450.0,450.0,0,oracle,,3,0,5009,0.044919145538031544,0.0,5
0,5,0.0,,450.0,450.0,0,oracle,,3,0,5009,0.044919145538031544,0.0,5
0,6,0.0,,450.0,450.0,0,oracle,,2,0,5009,0.044919145538031544,0.0,5
0,7,0.0,,450.0,450.0,0,oracle,,1,0,5009,0.044919145538031544,0.0,5
0,8,0.0,,450.0,450.0,0,oracle,,1,0,5009,0.044919145538031544,0.0,5
0,9,0.0,,450.0,450.0,0,oracle,,1,0,5009,0.044919145538031544,0.0,5
0,10,0.0,,450.0,450.0,0,oracle,,9,0,5009,0.044919145538031544,0.0,5
0,11,0.0,,450.0,450.0,0,oracle,,6,0,5009,0.044919145538031544,0.0,5
0,12,0.0,,450.0,450.0,0,oracle,,3,0,5009,0.044919145538031544,0.0,5
0,0,0.0,,450.0,450.0,0,oracle,,1,0,4996,0.04503602882305845,0.0,6
